SERIAL_NO,년도,행정구역코드,주차장명,소재지,환승수단,주차장형식,주차급지,주차면수,일반주차요금,환승주차요금,운영기관,자료기준일,위도,경도
1164000021,2020,1117000,신도림역 주차장,서울특별시 구로구구로동3-55,"1,2호선",2,,60,3000원/60분,,구로구,2019-11-01,37.5073023,126.8925842
1164000026,2020,1117000,오류동역주차장,서울특별시 구로구오류동65-6,1호선,2,,60,3000원/60분,,구로구,2019-11-01,37.4947878,126.8446963
1171000013,2020,1118000,가산디지털역 환승,서울특별시 금천구 가산동 35-2,"1,7호선",1,4,5,100원/5분,,서울특별시 금천구시설관리공단 (구청위탁),2019-11-25,37.48295114,126.8825718
1171000015,2020,1118000,가산디지털환승,서울특별시 금천구 가산동 35-2,"1,7호선",1,4,30,250원/5분,,서울특별시 금천구청,2019-08-31,37.48313387,126.882071
1174000002,2020,1118000,가산디지털환승주차장(가산주차장),서울특별시 금천구 가산동 464-2,"1,7호선",2,3,10,500원/10분,,민간,2019-08-31,37.48159601,126.8825604
1181000002,2020,1119000,대림역,서울특별시 영등포구 대림동 808-24,"2,7호선",1,3,5,150원/5분,,서울시설공단,2019-04-30,37.492914,126.895325
1182000001,2020,1119000,영등포구청역,서울특별시 영등포구 당산동3가 370-3,"2,5호선",2,3,5,150원/5분,,서울시설공단,2019-04-30,37.524876,126.895153
1182000015,2020,1119000,신길환승(5호선)공영주차장,서울특별시 영등포구 영등포1가35,"1,5호선",2,4,5,100원/5분,,서울특별시 영등포구시설관리공단,2019-04-30,37.517666,126.9143348
1182000016,2020,1119000,신길역사(1호선)공영주차장,서울특별시 영등포구 신길1동 54-2,"1,5호선",2,4,5,100원/5분,,서울특별시 영등포구시설관리공단,2019-04-30,37.5170175,126.9171901
1182000017,2020,1119000,영등포구청환승공영주차장,서울특별시 영등포구 당산동3가370-4,"2,5호선",2,4,5,100원/5분,,서울특별시 영등포구시설관리공단,2019-04-30,37.524747,126.895454
1192000001,2020,1120000,신대방역,서울특별시 동작구 신대방동 643-1,2호선,2,3,5,150원/5분,,서울시설공단,2019-04-30,37.487559,126.913219
1202000001,2020,1121000,구로디지털단지역(상),서울특별시 관악구 신림동 1677-4,2호선,2,3,5,100원/5분,,서울시설공단,2019-04-30,37.484644,126.903739
1211000004,2020,1122000,방배역,서울특별시 서초구 방배동 910-16,2호선,1,2,10,500원/10분,,서울특별시 서초구청,2019-06-26,37.482203,126.997031
1212000001,2020,1122000,교대역동측,서울특별시 서초구 서초1동 1673-7,"2,3호선",2,1,10,800원/10분,,서울특별시 서초구청,2019-06-26,37.4939238,127.0159712
1222000001,2020,1123000,수서역,서울특별시 강남구 수서동 735,3호선,2,2,5,100원/5분,,서울시설공단,2019-04-30,37.487944,127.099935
1222000002,2020,1123000,학여울역,서울특별시 강남구 대치동 514-1,3호선,2,3,5,100원/5분,,서울시설공단,2019-04-30,37.495109,127.069857
1222000004,2020,1123000,일원역,서울특별시 강남구 일원본동 716-2,3호선,2,4,5,100원/5분,,서울시설공단,2019-04-30,37.484669,127.084056
1222000023,2020,1123000,대청역,서울특별시 강남구 개포동 13-2,"3호선, 분당선",2,4,5,0원/0분,,강남구도시관리공단,2019-09-09,37.49491581,127.0793202
1231000001,2020,1124000,성내역,서울특별시 송파구 신천동 11-1,"2,8호선",1,3,5,150원/5분,,서울시설공단,2019-04-30,37.517157,127.104968
1231000008,2020,1124000,석촌역,서울특별시 송파구 송파동 67 ∼ 68,"8,9호선",1,2,5,0원/0분,,아마노코리아(주),2019-07-29,37.505766,127.107851
1232000001,2020,1124000,잠실역,서울특별시 송파구 잠실동 29(지하),"2,8호선",2,1,5,400원/5분,,서울시설공단,2019-04-30,37.513118,127.103524
1232000002,2020,1124000,복정역,서울특별시 송파구 장지동 561-9,"8호선, 분당선",2,4,5,100원/5분,,서울시설공단,2019-04-30,37.471045,127.126758
1232000026,2020,1124000,잠실나루역 환승주차장 (노상),서울특별시 송파구 신천동 15,2호선,2,3,0,0,,서울시 흰돌기업,2019-07-29,37.5186216,127.1049002
1232000028,2020,1124000,복정역 환승,서울특별시 송파구 장지동 561-9,"8호선, 분당선",2,4,0,0,,서울시설관리공단,2019-07-29,37.469953,127.128249
1232000029,2020,1124000,잠실역환승,서울특별시 송파구 신천동 29,"2,8호선",2,1,0,0,,서울시설관리공단,2019-07-29,37.513689,127.1044541
1242000001,2020,1125000,천호역,서울특별시 강동구 천호동 455,"5,8호선",2,3,5,150원/5분,,서울시설공단,2019-04-30,37.538507,127.125128
